銘柄コード,企業名,売上高,売上原価,売上総利益,営業利益,経常利益,特別損益収支,当期純利益,業種,市場
1301,極洋,"181,885","162,411","19,474","1,636","1,707",134,423,水産・農林業,東1
1334,マルハニチロホールディングス,"816,121","705,736","110,385","16,431","14,878","-5,876","3,385",水産・農林業,東1
1352,ホウスイ,"43,628","40,051","3,577",416,505,-11,199,卸売業,東1
1376,カネコ種苗,"51,406","43,221","8,185","1,529","1,610",6,863,水産・農林業,JQ
1377,サカタのタネ,"46,988","23,966","23,022","2,562","2,899",-557,"1,902",水産・農林業,東1
1378,雪国まいたけ,"26,042","20,748","5,294","-2,407","-3,247",-35,"-2,171",水産・農林業,東2
1379,ホクト,"51,497","32,948","18,549","7,919","8,278",-57,"4,408",水産・農林業,東1
1380,秋川牧園,"4,418","3,438",980,38,60,-6,27,水産・農林業,JQ
1381,アクシーズ,"15,221","10,738","4,483",377,493,21,326,水産・農林業,JQ
1382,ホーブ,"3,581","2,808",773,-18,-12,0,-10,水産・農林業,JQ
1400,アライヴ　コミュニティ,"2,558","1,646",912,177,145,-212,-77,建設業,HC
1401,エムビーエス,"1,253",892,361,93,81,0,40,建設業,福Q
1405,サーラ住宅,"31,968","25,660","6,308","1,221","1,241",-9,632,建設業,東2
1407,ウエストホールディングス,"25,763","18,186","7,577","1,497","1,286",-116,891,建設業,JQ
1408,サムシングホールディングス,"8,946","6,730","2,216",321,337,1,193,建設業,HC
1413,桧家住宅,"52,120","37,827","14,293","4,238","4,511",-103,"2,455",建設業,名2
1414,ショーボンドホールディングス,"44,368","34,716","9,652","6,532","6,867",-130,"3,687",建設業,東1
1491,中外鉱業,"26,075","24,487","1,588",211,144,-313,-423,非鉄金属,東2
1515,日鉄鉱業,"101,505","77,994","23,511","7,288","6,744",-799,"3,024",鉱業,東1
1518,三井松島産業,"98,063","88,964","9,099","6,290","6,577",981,"4,880",鉱業,東1
1605,国際石油開発帝石ホールディングス,"1,186,731","395,443","791,288","709,357","767,038",0,"194,000",鉱業,東1
1661,関東天然瓦斯開発,"79,008","66,472","12,536","4,043","4,800",-382,"2,174",鉱業,東1
1662,石油資源開発,"230,638","182,167","48,471","15,045","22,159",311,"17,027",鉱業,東1
1712,ダイセキ環境ソリューション,"7,227","6,143","1,084",408,400,-1,208,建設業,マザ
1716,第一カッター興業,"8,072","5,836","2,236",481,524,77,321,建設業,JQ
1717,明豊ファシリティワークス,"4,874","3,800","1,074",263,150,-28,53,建設業,JQ
1718,美樹工業,"25,651","19,591","6,060","1,164","1,149",-181,406,建設業,JQ
1719,ハザマ,"182,049","166,630","15,419","5,915","4,779",-718,"1,766",建設業,東1
1720,東急建設,"227,843","215,573","12,270","1,572","1,884",464,"1,799",建設業,東1
1721,コムシスホールディングス,"295,851","264,734","31,117","12,592","12,969",-702,"7,173",建設業,東1
1722,ミサワホーム,"378,574","290,593","87,981","11,976","10,900",246,"6,919",建設業,東1
1723,日本電技,"20,852","15,431","5,421","1,050","1,082",-3,583,建設業,JQ
1724,シンクレイヤ,"6,301","4,351","1,950",-230,-204,-13,-224,建設業,JQ
1726,ビーアールホールディングス,"16,650","14,690","1,960",266,119,-10,156,建設業,東2
